Designator,Mid X,Mid Y,Rotation,Layer
D1,54.5,-30.0,0.0,top
D2,54.5,-34.5,0.0,top
D3,54.5,-39.5,0.0,top
D4,54.5,-44.5,0.0,top
D5,54.5,-49.5,0.0,top
FID1,82.0,-32.0,0.0,top
FID2,112.0,-104.0,0.0,top
FID3,35.0,-110.0,0.0,top
J1,40.275,-84.1,90.0,top
J10,103.5,-78.0,0.0,top
J11,103.5,-91.0,0.0,top
J12,82.0,-37.0,0.0,top
J2,99.3,-103.125,-90.0,top
J3,74.3,-103.125,-90.0,top
J4,60.8,-103.125,-90.0,top
J5,86.55,-103.125,-90.0,top
J6,47.3,-103.125,-90.0,top
J7,103.0,-37.5,0.0,top
J8,103.125,-51.2,0.0,top
J9,103.5,-64.5,0.0,top
R1,61.0,-30.0,0.0,top
R2,61.0,-34.5,0.0,top
R3,61.0,-39.5,0.0,top
R4,60.9125,-44.5,0.0,top
R5,61.0,-49.5,0.0,top
TP1,93.0,-30.7,90.0,top
TP2,88.35,-35.35,90.0,top
TP3,93.0,-44.65,90.0,top
TP4,93.0,-40.0,90.0,top
TP5,88.35,-30.7,90.0,top
TP6,88.35,-44.65,90.0,top
TP7,88.35,-40.0,90.0,top
TP8,93.0,-35.35,90.0,top
